timestamp,elapsed_seconds,p99_latency,cpu_cores,replicas
1782215865,0,nan,0.0003493591317586067,1.0
1782215880,15,nan,0.00031760308608660325,1.0
1782215895,30,0.592500000000001,0.1451658453583188,1.0
1782215910,45,0.48535714285714293,0.41750441625557894,1.0
1782215925,60,0.486788917658718,0.7795162794625751,3.0
1782215940,75,0.4842429759666561,0.7851045618715138,3.0
1782215955,90,0.4850557199326315,0.8512927678523666,5.0
1782215970,105,0.4734238985176097,0.8041233425297186,5.0
1782215985,120,0.42512255727836984,0.7135699986789769,5.0
1782216000,135,0.3507065101142889,0.6885474216039601,5.0
1782216015,150,0.24949300737262237,0.6752739979270317,5.0
1782216030,165,0.24870208451925796,0.6945186219687343,5.0
1782216045,180,0.2479753771692144,0.7050017020610562,5.0
1782216060,195,0.2699994095867862,0.69972512348943,5.0
1782216075,210,0.28083782843171495,0.7134567612473426,5.0
1782216090,225,0.2612346230698587,0.6631183737022306,5.0
1782216105,240,0.24797348095261332,0.7177122213752214,5.0
1782216120,255,0.24795915305945743,0.7190073498874016,5.0
1782216135,270,0.2478882593331789,0.9069828203400967,5.0
1782216150,285,0.32424755629103985,1.9392986274166963,5.0
1782216165,300,0.3893516891948652,2.795742826172714,5.0
1782216180,315,0.3892332131294671,2.9380230394649747,5.0
1782216195,330,0.3756893507170759,1.8576018010333226,5.0
1782216210,345,0.2498692359123806,0.5099454952716327,5.0
1782216225,360,0.24999634179535918,1.1612351501255667,5.0
1782216240,375,0.4622796462002091,2.4954371906666055,5.0
1782216255,390,0.4840589149216121,4.311839511691124,5.0
1782216270,405,0.4830686050398174,4.902585267262561,5.0
1782216285,420,0.4831944650383093,4.659747120004226,5.0
1782216300,435,0.4676293864071519,4.968176593671908,5.0
1782216315,450,0.4589847563605077,4.815919851773761,5.0
1782216330,465,0.43222045080883453,4.688836059874474,5.0
1782216345,480,0.4329833791490012,4.972120775151882,5.0
1782216360,495,0.39336947201431804,4.207008702413387,5.0
1782216375,510,0.3697276632111778,3.8213266494670606,5.0
1782216390,525,0.24822627930022506,2.671723802277116,5.0
1782216405,540,0.24849889547411352,1.6558739606919293,5.0
1782216420,555,0.35577085765226135,1.0195241519968696,5.0
1782216435,570,0.37528579102478066,0.803856021568753,5.0
1782216450,585,0.38124942073312024,0.8228393501608667,5.0
1782216465,600,0.2486554234368887,0.689293349960799,5.0
1782216480,615,0.24938073340675307,0.7667255126434509,5.0
1782216495,630,0.24940528634361234,0.7717534954118127,5.0
1782216510,645,0.24875311147356213,0.8041006436872966,5.0
1782216525,660,0.2480312536531452,0.7579718766527883,5.0
1782216540,675,0.24803072633747636,0.5979928845403599,5.0
1782216555,690,0.2479336714729507,0.3566025477749101,5.0
1782216570,705,0.24820000209186002,0.11175492189596156,5.0
1782216585,720,nan,0.0016983872283507803,5.0
1782216600,735,nan,0.0015780202373063706,4.0
1782216615,750,nan,0.0013937688276898551,4.0
1782216630,765,nan,0.0010832222429699367,2.0
1782216645,780,nan,0.0007643043180305269,2.0
1782216660,795,nan,0.0003159533929356605,1.0
1782216675,810,nan,0.0003207616783158679,1.0
1782216690,825,nan,0.0003750350631138565,1.0
1782216705,840,nan,0.0004117324185253637,1.0
1782216720,855,nan,0.00040904864497091583,1.0
