timestamp,elapsed_seconds,p99_latency,cpu_cores,replicas
1781986871,0,,0.47631845436932785,1.0
1781986886,15,,0.7466487280448432,1.0
1781986901,30,,0.9902983071342206,1.0
1781986916,45,0.2464230769230769,1.0111915676486465,1.0
1781986931,60,0.2468058823529412,0.9885208843582443,1.0
1781986946,75,0.24717499999999998,0.9540503488798993,2.0
1781986961,90,0.24841632459781335,0.8650823804553578,4.0
1781986976,105,0.38992666860696557,0.809126869067621,4.0
1781986991,120,0.41105985047662336,0.8476709700411872,5.0
1781987006,135,0.39875606468140423,0.8643941838424517,5.0
1781987021,150,0.298379316264474,0.8234975451233228,5.0
1781987036,165,0.2482269708330145,0.8262391985049268,5.0
1781987051,180,0.24784396856259125,0.7925735493962738,5.0
1781987066,195,0.24780205212339185,0.7978890460578957,5.0
1781987081,210,0.24774604287572807,0.7837167922468848,5.0
1781987096,225,0.24842819698777138,0.839549039579574,5.0
1781987111,240,0.24823340219391757,0.8456376136397449,5.0
1781987126,255,0.2481996645750336,0.8424240179057427,5.0
1781987141,270,0.24780162379169904,1.0249067281906539,5.0
1781987156,285,0.4183294418695551,2.1138137242298702,5.0
1781987171,300,0.4800888377430059,3.646018173748852,5.0
1781987186,315,0.484272121795831,4.476096691286979,5.0
1781987201,330,0.48851224325648246,4.972020184762131,5.0
1781987216,345,0.4705988552366225,4.930227035331743,5.0
1781987231,360,0.45937500000000014,4.9901393902650515,5.0
1781987246,375,,4.9280566013597875,5.0
1781987261,390,,4.981928263880405,4.0
1781987276,405,,4.3769490994406315,4.0
1781987291,420,,3.7719103434756995,2.0
1781987306,435,,3.30144283319827,2.0
1781987321,450,,1.9940642464136065,1.0
1781987336,465,,1.3422730126188924,1.0
1781987351,480,,1.0024794494897484,1.0
1781987366,495,,1.0004508144923432,1.0
1781987381,510,,0.9897733144409031,1.0
1781987396,525,,1.0099509552259158,1.0
1781987411,540,,0.9872939938791151,1.0
1781987426,555,,1.0085077199360513,1.0
1781987441,570,,0.9882581528448008,1.0
1781987456,585,,0.8772625456187091,1.0
1781987471,600,,0.9867093712200429,1.0
1781987486,615,,0.9960202631815573,1.0
1781987501,630,,0.9919384210246314,1.0
